Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Churn
13.0,0,1,16.0,2,3.0,4,4,1.0,4,0.0,15.737864077669904,1.0,2.0,4.0,319.31,0.0
18.0,1,1,14.0,3,3.0,3,2,1.0,10,0.0,14.0,8.0,9.0,8.0,136.97,0.0
13.0,1,1,10.0,1,4.0,5,2,3.0,2,0.0,16.0,1.0,2.0,8.0,155.69,0.0
21.0,0,1,12.0,1,3.0,5,2,1.0,8,1.0,12.0,0.0,1.0,9.0,153.29,0.0
11.0,1,2,15.0,3,3.0,4,2,4.0,4,0.0,14.0,5.0,5.0,8.0,165.71,0.0
14.0,0,1,16.0,1,3.0,4,3,4.0,10,1.0,15.0,1.0,2.0,1.0,161.17,0.0
25.0,1,1,13.0,2,3.0,4,4,3.0,9,0.0,15.737864077669904,9.0,16.0,16.0,320.37,0.0
16.0,1,1,19.0,1,3.0,4,3,4.0,10,0.0,23.0,2.0,2.0,5.0,152.66,0.0
3.0,1,3,15.0,4,2.0,4,2,4.0,2,0.0,14.0,0.0,1.0,3.0,141.89,0.0
4.0,1,3,12.0,2,3.0,4,0,2.0,4,0.0,13.0,3.0,8.0,4.51735087321388,219.19,0.0
15.0,1,1,15.68136813681368,1,3.0,1,2,4.0,7,1.0,16.0,0.0,1.0,0.0,123.72,0.0
1.0,0,1,17.0,2,3.0,5,3,3.0,3,0.0,21.0,3.0,3.0,3.0,151.25,1.0
12.0,1,1,13.0,0,3.0,5,2,1.0,2,0.0,13.0,6.0,7.0,8.0,171.27,0.0
13.0,1,1,25.0,2,3.0,4,2,3.0,2,0.0,12.0,2.0,2.0,8.0,170.34,0.0
1.0,1,3,15.0,3,3.0,4,2,3.0,2,1.0,23.0,1.0,2.0,5.0,174.07,0.0
13.0,1,1,7.0,2,4.0,5,1,2.0,3,0.0,17.0,1.0,2.960674157303371,9.0,252.42,0.0
29.0,0,1,34.0,2,3.0,4,0,5.0,10,0.0,12.0,1.0,2.960674157303371,2.0,233.2,0.0
9.0,1,3,16.0,2,3.0,3,0,4.0,6,0.0,21.0,0.0,1.0,7.0,173.14,1.0
2.0,0,2,8.0,2,3.0,4,3,1.0,3,0.0,16.0,2.0,3.0,3.0,152.06,0.0
7.0,1,1,14.0,1,3.0,4,0,3.0,2,0.0,12.0,2.0,2.960674157303371,8.0,241.91000000000005,0.0
1.0,1,1,9.0,1,3.0,3,0,4.0,1,0.0,17.0,0.0,1.0,7.0,176.55,0.0
20.0,1,1,11.0,2,2.0,3,4,3.0,5,0.0,11.0,1.712427097353073,1.0,1.0,283.0,0.0
0.0,0,3,6.0,4,3.0,3,2,4.0,1,1.0,13.0,0.0,1.0,4.0,163.49,0.0
2.0,1,3,16.0,1,2.0,4,2,3.066308662152697,10,0.0,11.0,1.0,1.0,4.0,158.69,0.0
19.0,0,1,8.0,1,3.0,4,2,3.0,6,0.0,13.0,1.0,2.0,4.0,178.99,0.0
8.0,1,3,8.0,0,4.0,5,0,3.0,3,1.0,15.0,8.0,9.0,7.0,195.83,0.0
10.0,1,1,12.0,2,3.0,5,3,5.0,11,1.0,15.0,2.0,2.0,1.0,159.19,0.0
10.239954853273138,0,1,9.0,1,1.0,3,5,4.0,5,0.0,12.0,4.0,7.0,2.0,120.88,0.0
6.0,1,1,21.0,1,3.0,3,2,1.0,1,1.0,13.0,5.0,8.0,1.0,12.0,0.0
8.0,1,1,10.0,2,3.0,4,3,5.0,6,0.0,13.0,2.0,2.0,3.0,148.62,1.0
4.0,0,1,10.0,1,4.0,4,3,3.0,3,0.0,21.0,2.0,2.0,1.0,145.83,0.0
1.0,0,1,36.0,1,3.0,5,2,3.0,3,0.0,23.0,4.0,4.0,9.0,170.08,1.0
2.0,0,3,8.0,2,2.0,3,2,2.0,2,0.0,18.0,0.0,1.0,9.0,145.54,0.0
7.0,0,1,11.0,0,3.0,4,2,4.0,7,0.0,16.0,1.0,2.0,8.0,155.55,0.0
12.0,1,1,7.0,2,4.0,5,0,3.0,11,1.0,14.0,1.0,2.0,1.0,178.81,1.0
4.0,1,3,15.0,3,4.0,4,0,3.0,7,0.0,12.0,3.0,8.0,8.0,197.64,0.0
11.0,0,3,8.0,2,2.0,3,0,3.0,2,1.0,19.0,8.0,9.0,6.0,198.52,0.0
29.0,1,3,16.0,4,3.0,4,2,1.0,3,0.0,15.0,1.0,7.0,8.0,166.05,0.0
30.0,1,1,7.0,1,3.0,5,0,1.0,4,0.0,20.0,1.0,1.0,0.0,208.83,0.0
4.0,1,1,12.0,0,3.0,4,3,5.0,7,0.0,15.0,1.0,3.0,31.0,157.04,0.0
13.0,0,1,14.0,2,3.0,3,2,1.0,4,1.0,18.0,2.0,2.0,2.0,140.69,0.0
9.0,1,3,17.0,4,3.0,4,2,1.0,5,0.0,13.0,1.0,1.0,0.0,166.52,0.0
